assignmentID,traceID,index,isCorrect,source,code
firstAndLast,072103a2e69c9921adef5d0b30181b7c,0,FALSE,"def firstAndLast(s):
	return s[1] + s[len(s)]","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""children"":{""op"":{""type"":""Add""},""left"":{""children"":{""slice"":{""children"":{""value"":{""type"":""Num"",""value"":""1""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""},""right"":{""children"":{""slice"":{""children"":{""value"":{""children"":{""args"":{""children"":{""0"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""func"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""len""},""keywords"":{""type"":""list""}},""childrenOrder"":[""func"",""args"",""keywords""],""type"":""Call""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""}},""childrenOrder"":[""left"",""op"",""right""],""type"":""BinOp""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""9b7f8033f83e0bdc22f1f84874b97012"",""source"":""def firstAndLast(s):\r\n\treturn s[1] + s[len(s)]"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,072103a2e69c9921adef5d0b30181b7c,1,FALSE,"def firstAndLast(s):
	return s[1] + s[len(s)]","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""children"":{""op"":{""type"":""Add""},""left"":{""children"":{""slice"":{""children"":{""value"":{""type"":""Num"",""value"":""1""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""},""right"":{""children"":{""slice"":{""children"":{""value"":{""children"":{""args"":{""children"":{""0"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""func"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""len""},""keywords"":{""type"":""list""}},""childrenOrder"":[""func"",""args"",""keywords""],""type"":""Call""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""}},""childrenOrder"":[""left"",""op"",""right""],""type"":""BinOp""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""e0be4f44b531345544575b71eb629798"",""source"":""def firstAndLast(s):\r\n\treturn s[1] + s[len(s)]"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,072103a2e69c9921adef5d0b30181b7c,2,FALSE,"def firstAndLast(s):
	return s[0] + s[len(s)]","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""children"":{""op"":{""type"":""Add""},""left"":{""children"":{""slice"":{""children"":{""value"":{""type"":""Num"",""value"":""0""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""},""right"":{""children"":{""slice"":{""children"":{""value"":{""children"":{""args"":{""children"":{""0"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""func"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""len""},""keywords"":{""type"":""list""}},""childrenOrder"":[""func"",""args"",""keywords""],""type"":""Call""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""}},""childrenOrder"":[""left"",""op"",""right""],""type"":""BinOp""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""7ef84993192d7da9f43836e963d86c93"",""source"":""def firstAndLast(s):\r\n\treturn s[0] + s[len(s)]"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,072103a2e69c9921adef5d0b30181b7c,3,FALSE,"def firstAndLast(s):
	return s[0] + s[len(s)]","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""children"":{""op"":{""type"":""Add""},""left"":{""children"":{""slice"":{""children"":{""value"":{""type"":""Num"",""value"":""0""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""},""right"":{""children"":{""slice"":{""children"":{""value"":{""children"":{""args"":{""children"":{""0"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""func"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""len""},""keywords"":{""type"":""list""}},""childrenOrder"":[""func"",""args"",""keywords""],""type"":""Call""}},""childrenOrder"":[""value""],""type"":""Index""},""ctx"":{""type"":""Load""},""value"":{""children"":{""ctx"":{""type"":""Load""}},""childrenOrder"":[""ctx""],""type"":""Name"",""value"":""s""}},""childrenOrder"":[""value"",""slice"",""ctx""],""type"":""Subscript""}},""childrenOrder"":[""left"",""op"",""right""],""type"":""BinOp""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""072103a2e69c9921adef5d0b30181b7c"",""source"":""def firstAndLast(s):\r\n\treturn s[0] + s[len(s)]"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,2961b2aedf2483e7cf584a43aca4192e,0,FALSE,"def firstAndLast(s):
	return","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""type"":""null""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""ed535da9720f26a6140963babea01f8a"",""source"":""def firstAndLast(s):\r\n\treturn"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,2961b2aedf2483e7cf584a43aca4192e,1,FALSE,"def firstAndLast(s):
	return","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""type"":""null""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""4b7b63d2a540bc28aa9f1a7efa8437aa"",""source"":""def firstAndLast(s):\r\n\treturn"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,2961b2aedf2483e7cf584a43aca4192e,2,FALSE,"def firstAndLast(s):
	return","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""type"":""null""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""eaa8af155ac2e03da7e325949ad978f1"",""source"":""def firstAndLast(s):\r\n\treturn"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,2961b2aedf2483e7cf584a43aca4192e,3,FALSE,"def firstAndLast(s):
	return","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""type"":""null""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""8f51e35ea3505aadaddaf4a13e48135a"",""source"":""def firstAndLast(s):\r\n\treturn"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,2961b2aedf2483e7cf584a43aca4192e,4,FALSE,"def firstAndLast(s):
	return ('[all the stuff]' + '[extra stuff]')","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""children"":{""op"":{""type"":""Add""},""left"":{""type"":""Str"",""value"":""[all the stuff]""},""right"":{""type"":""Str"",""value"":""[extra stuff]""}},""childrenOrder"":[""left"",""op"",""right""],""type"":""BinOp""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""938c0a3c1517c59373c550ab59707a09"",""source"":""def firstAndLast(s):\r\n\treturn ('[all the stuff]' + '[extra stuff]')"",""type"":""Module"",""isCorrect"":false}"
firstAndLast,2961b2aedf2483e7cf584a43aca4192e,5,FALSE,"def firstAndLast(s):
	return ('[all the stuff]' + '[extra stuff]')","{""children"":{""body"":{""children"":{""0"":{""children"":{""args"":{""children"":{""args"":{""children"":{""0"":{""children"":{""annotation"":{""type"":""null""}},""childrenOrder"":[""annotation""],""type"":""arg"",""value"":""s""}},""childrenOrder"":[""0""],""type"":""list""},""kwonlyargs"":{""type"":""list""},""kwarg"":{""type"":""null""},""kw_defaults"":{""type"":""list""},""defaults"":{""type"":""list""},""vararg"":{""type"":""null""}},""childrenOrder"":[""args"",""vararg"",""kwonlyargs"",""kw_defaults"",""kwarg"",""defaults""],""type"":""arguments""},""decorator_list"":{""type"":""list""},""returns"":{""type"":""null""},""body"":{""children"":{""0"":{""children"":{""value"":{""children"":{""op"":{""type"":""Add""},""left"":{""type"":""Str"",""value"":""[all the stuff]""},""right"":{""type"":""Str"",""value"":""[extra stuff]""}},""childrenOrder"":[""left"",""op"",""right""],""type"":""BinOp""}},""childrenOrder"":[""value""],""type"":""Return""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""args"",""body"",""decorator_list"",""returns""],""type"":""FunctionDef"",""value"":""firstAndLast""}},""childrenOrder"":[""0""],""type"":""list""}},""childrenOrder"":[""body""],""id"":""bacc16009c66dcabef24425aee3eb864"",""source"":""def firstAndLast(s):\r\n\treturn ('[all the stuff]' + '[extra stuff]')"",""type"":""Module"",""isCorrect"":false}"
